pid,an,name,_date,caption,translation,student,keywords,manifest,thumbnail,full
001,6,Plate 1,1797,Perruque grecque. Collier montant ganses sur le corsage petit fichu. Robe froussée jusu'au mollet.,"Greek wig. High necklace, corded bodice, small kerchief. Dress raised up to the calf.",Meghan Collins,"perruque, grecque, corsage, robe",/img/derivatives/iiif/001/manifest.json,"/img/derivatives/iiif/images/001/full/250,/0/default.jpg","/img/derivatives/iiif/images/001/full/1140,/0/default.jpg"
002,6,Plate 2,1797,Toquet en gaze Bouillonnée. Spencer par dessus la robe. Schall long.,Cap with gathered gauze. Spencer over the dress. Long shawl.,Meghan Collins,"toquet, spencer, gaze",/img/derivatives/iiif/002/manifest.json,"/img/derivatives/iiif/images/002/full/250,/0/default.jpg","/img/derivatives/iiif/images/002/full/1140,/0/default.jpg"
003,6,Plate 3,1797,"Chapeau-Spencer. Robe de Linon. Schall Long, Rubans croisés, en forme de Cothurne",Spencer-hat. Lawn dress. Long shawl. Laced shoe-,Avery Schroeder,"chapeau-spencer, schall, cothurne",/img/derivatives/iiif/003/manifest.json,"/img/derivatives/iiif/images/003/full/250,/0/default.jpg","/img/derivatives/iiif/images/003/full/1140,/0/default.jpg"
004,6,Plate 4,1797,Toquet froncé à coulisses. Redingotte croiseée. Schall long chaine d'or portant un couer en cristal.,"Gathered cap, with drawstrings. Crossed overcoat. Long shawl. Gold chain, carrying a crystal heart.",Meghan Collins,"toquet, coulisses, redingotte, schall",/img/derivatives/iiif/004/manifest.json,"/img/derivatives/iiif/images/004/full/250,/0/default.jpg","/img/derivatives/iiif/images/004/full/1140,/0/default.jpg"
005,6,Plate 5,1797," Toquet d'enfant, garni en dentelle, Bride noire Spencer, Robe Blanche, sure un Transparent","Child’s cap, decorated with lace. Black chin-strap. Spencer. White dress, over a Transparent [underdress].",Avery Schroeder,"toquet, bride, spencer, transparent",/img/derivatives/iiif/005/manifest.json,"/img/derivatives/iiif/images/005/full/250,/0/default.jpg","/img/derivatives/iiif/images/005/full/1140,/0/default.jpg"
006,6,Plate 6,1797,"Turban à Calotte plate, orné de Perles et d'un Plumet, Robe froncée, Schall en Sautoir","Turban with flat crown, decorated with pearls and feathers. Gathered dress. Shawl worn as a long necklace.",Avery Schroeder,"calotte, robe froncée, sautoir",/img/derivatives/iiif/006/manifest.json,"/img/derivatives/iiif/images/006/full/250,/0/default.jpg","/img/derivatives/iiif/images/006/full/1140,/0/default.jpg"
007,6,Plate 7,1797,"Chignon à la grecque, Relevé sur un Bonnet Rond,  Chemise à la Prêtresse, Mantelet de gaze, glands sur les souliers.","Greek-style bun, raised on a round bonnet. Priestess-style dress. Gauze mantle, Tassles on the shoes.",Avery Schroeder,"gaze, glands, souliers, mantelet, grecque, spincer",/img/derivatives/iiif/007/manifest.json,"/img/derivatives/iiif/images/007/full/250,/0/default.jpg","/img/derivatives/iiif/images/007/full/1140,/0/default.jpg"
008,6,Plate 8,1797,"Capote Anglaise, garnie en Crêpe, Bandeau de Velours, Guilloché en Or, Petit fichu croisé, Rubans en Cothurnes","English hood, decorated with crape. Velvet headband, with gold greek-key. Small crossed kerchief. Laced shoe-ribbons.",Avery Schroeder,"capote, crêpe, guilloché, cothurne",/img/derivatives/iiif/008/manifest.json,"/img/derivatives/iiif/images/008/full/250,/0/default.jpg","/img/derivatives/iiif/images/008/full/1140,/0/default.jpg"
009,6,Plate 9,1797,"Chignon à la Grecque, entrelacé avec un Fichu de couleur, Bandeau en Cheveaux, Collier de Perles, Ceinlure à la Victime",Greek-style bun interlaced with a colored kerchief. Natural hair headband. Pearl necklace. Victim-style belt.,Avery Schroeder,ceinture à la victime,/img/derivatives/iiif/009/manifest.json,"/img/derivatives/iiif/images/009/full/250,/0/default.jpg","/img/derivatives/iiif/images/009/full/1140,/0/default.jpg"
010,6,Plate 10,1797,"Plumet de Héron sur un Fichu en Marmote, Collet de Chemise d'homme, Clef d'or servant d'Epingle, Spencer.",Heron plume on a country kerchief. Man’s shirt collar. Gold key used as a pin. Spencer.,Avery Schroeder,"héron, marmote, epingle",/img/derivatives/iiif/010/manifest.json,"/img/derivatives/iiif/images/010/full/250,/0/default.jpg","/img/derivatives/iiif/images/010/full/1140,/0/default.jpg"
